"This sheet is a rough list of the CDs we'll be purchasing, taking duplicate buys into account, to get a better idea of total budget required ",,,,,,Total est. cost:
Tracks,Album Name,Link,Rough Price including shipping,Source,Notes,$733.97
NHS2-0002.wav,Maroni River Caribs of Surinam,https://www.amazon.com/gp/offer-listing/B000003716/ref=sr_1_2?keywords=The+Maroni+River+Caribs+of+Surinam&qid=1575481618&sr=8-2,$18.00,Amazon,,
"NHS2-0062.wav, NHS2-0065.wav, NHS2-0070.wav",Songs of Inuit Iglulik,https://www.amazon.com/Songs-Inuit-Iglulik-Canada-Tyhe/dp/B0006ZYU5A/ref=asc_df_B0006ZYU5A/?tag=hyprod-20&linkCode=df0&hvadid=385638054396&hvpos=1o1&hvnetw=g&hvrand=10572690794466139180&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9002000&hvtargid=pla-434832395509&psc=1&tag=&ref=&adgrpid=79422665660&hvpone=&hvptwo=&hvadid=385638054396&hvpos=1o1&hvnetw=g&hvrand=10572690794466139180&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9002000&hvtargid=pla-434832395509,$20.00,Amazon,,
"NHS2-0071.wav, NHS2-0072.wav, NHS2-0073.wav, NHS2-0074.wav",Inuit: 55 Historical Recordings,https://www.amazon.com/Inuit-Historical-Recordings-Various-Artists/dp/B000057FQM,$22.00,Amazon,,
NHS2-0093.wav,Didjeridu - Dharpa: Songs from Dreamtime,https://www.amazon.com/Didjeridu-Dharpa-Dreamtime-WILL-SEACHNASAIGH/dp/B000007N9O/ref=sr_1_1?keywords=AUSTRALIA+Didjeridu+%28The%29%3A+Dharpa&qid=1575904401&sr=8-1,$18.00,Amazon,,
NHS2-0113.wav,World Playground,https://www.amazon.com/World-Playground-Various-Artists/dp/B00000JT4P,$16.00,Amazon,,
"NHS2-0124.wav, NHS2-0125.wav",The Didgeridoo Of The Australian Aborigines - Dream Time,https://www.discogs.com/sell/item/941171591,$14.00,Discogs,,
"NHS2-0129.wav, NHS2-0130.wav",Spirit Man (Aboriginal Music Of The Wandjina People),https://www.discogs.com/sell/release/12414906?ev=rb,$16.00,Discogs,,
"NHS2-0140.wav, NHS2-0141.wav, NHS2-0142.wav, NHS2-0147.wav",Alan Lomax - Scotland (CD),https://www.discogs.com/sell/list?master_id=563554&ev=mb&format=CD,$16.00,Discogs,,
"NHS2-0148.wav, NHS2-0153.wav, NHS2-0166.wav","Alan Lomax, Peter Kennedy (2) ‎– England",https://www.discogs.com/sell/release/7107827?ev=rb,$13.00,Discogs,,
"NHS2-0196.wav, NHS2-0205.wav",Caribbean Voyage: Martinique,https://www.discogs.com/sell/release/9000942?ev=rb,$10.00,Discogs,,
"NHS2-0200.wav, NHS2-0218.wav",Caribbean Voyage: Brown Girl in the Ring,https://www.amazon.com/Caribbean-Voyage-Brown-Girl-Ring/dp/B0000002UX or https://www.discogs.com/sell/item/1024484222,$9.00,Amazon,,
NHS2-0206.wav,Caribbean Voyage: The French Antilles,https://www.discogs.com/sell/item/872739180,$16.00,Discogs,,
"NHS2-0240.wav, NHS2-0261.wav",Asie Centrale et Caucase: Voix de l'orient Soviétique / Central Asia and the Caucasus: Voices from the Soviet East -,https://fr.shopping.rakuten.com/offer/buy/137539/Musiques-Du-Monde-Urss-Voix-De-L-orient-Sovietique-CD-Album.html,$18.00,Misc,This CD is available at Harvard lib too,
"NHS2-0248.wav, NHS2-0249.wav, NHS2-0258.wav",Traditional Songs from Georgia,https://www.amazon.com/Ensemble-Kereoni-Traditional-Songs-Georgia/dp/B07HGBS6F8/ref=sr_1_1?keywords=Ensemble+Kereoni%3A+Traditional+Songs+from+Georgia&qid=1576006592&s=music&sr=1-1-catcorr,$16.25,Amazon,,
NHS2-0380.wav,Before The Revolution: A 1909 Recording Expedition In The Caucasus & Central Asia By The Gramophone Company,https://www.amazon.com/gp/offer-listing/B000068QTK/ref=dp_olp_used_mbc?ie=UTF8&condition=used,$23.00,Amazon,,
"NHS2-0412.wav, NHS2-0417.wav, NHS2-0418.wav",Death Is The Reaper Over The World / Kaszás E Földön A Halál: Hungarian Funeral Music,https://www.discogs.com/sell/release/7552992?ev=rb,$23.50,Discogs,,
NHS2-0414.wav,Hungarian Folk Music,https://www.discogs.com/sell/list?master_id=1126489&ev=mb,$11.85,Discogs,"This is an LP purchase! CD looks like it's only available in MIT lib, so attempt interlibrary loan first.",
NHS2-0419.wav,Folk Songs from Czechoslovakia,https://www.amazon.com/gp/offer-listing/B00242W1WM/ref=tmm_acd_new_olp_sr?ie=UTF8&condition=new&qid=&sr=,$25.00,Amazon,,
NHS2-0491.wav,Abajeños y sones de la fiesta Purepecha,https://www.amazon.com/gp/offer-listing/B01EP7EGUI/ref=tmm_other_meta_binding_collectible_olp_sr?ie=UTF8&condition=collectible&qid=&sr=,$23.00,Amazon,,
"NHS2-0512.wav, NHS2-0514.wav, NHS2-0515.wav","Polyphonic Music of the Annis Tribe: The Music of the Aborigines on Taiwan Island, Vol. 2",https://www.amazon.com/Polyphonic-Music-Annis-Tribe-Aborigines/dp/B000JFZ8G2/ref=olp_product_details?ie=UTF8&me=,$8.00,Amazon,,
NHS2-0537.wav,Japanese Traditional Music: Songs Of People At Work And Play,https://www.discogs.com/sell/release/9782411?ev=rb,$13.00,Discogs,,
NHS2-0562.wav,Éthiopie : Polyphonies Ari - Ethiopia: Ari Polyphonies,https://www.discogs.com/sell/item/1019034894,$17.37,Discogs,,
NHS2-0586.wav,Tanzania Instruments Tanganyika 1950,https://www.discogs.com/sell/release/6487948?ev=rb,$22.00,Discogs,,
"NHS2-0793.wav, NHS2-0794.wav, NHS2-0798.wav",Papua New Guinea : New Ireland,https://www.discogs.com/sell/release/6637618?ev=rb,$25.00,Discogs,,
NHS2-1053.wav,Musica Colombiana Andina,https://www.amazon.com/Musica-Colombiana-Andina-NIYIRETH/dp/B001NPAWQ8/ref=sr_1_1?keywords=Musica+Columbiana+Andina%3A+Music+From+Colombia&qid=1578509933&sr=8-1,$17.00,Amazon,,
"NHS2-1218.wav, NHS2-1207.wav, NHS2-1213.wav","Alan Lomax, Alain Daniélou ‎– India",https://www.discogs.com/sell/release/3786391?ev=rb,$14.00,Discogs,,
NHS2-1330.wav,Music of Indonesia: Flores,https://www.amazon.com/Music-Indonesia-Flores/dp/B00003W8BX/ref=sr_1_1?keywords=Music+of+Indonesia%3A+Flores&qid=1578670843&sr=8-1,$12.00,Amazon,,
"NHS2-1411.wav, NHS2-1413.wav, NHS2-1414.wav, NHS2-1420.wav, NHS2-1421.wav, NHS2-1426.wav, NHS2-1428.wav, NHS2-1429.wav","World Library Of Folk & Primitive Music, V: Yugoslavia",https://www.discogs.com/sell/release/3341198,$15.00,Discogs,,
NHS2-1652.wav,Musique des Pygmées Bibayak/Chantres De L'épopée,https://www.amazon.com/gp/offer-listing/B007IWTLQW/ref=tmm_other_meta_binding_used_olp_sr?ie=UTF8&condition=used&qid=&sr=,$11.00,Amazon,,
NHS2-1675.wav,Flutes Of The Mandara Mountains / Various,https://www.amazon.com/Flutes-Mandara-Mountains-Various-Artists/dp/B00DTVFQCY,$21.00,Amazon,also on discogs: https://www.discogs.com/sell/release/9203247?ev=rb,
"NHS2-1679.wav, NHS2-1685.wav, NHS2-1702.wav, NHS2-1703.wav, NHS2-1714.wav",World Library Of Folk & Primitive Music: France,https://www.discogs.com/sell/release/9001016?ev=rb,$19.00,Discogs,,
"NHS2-0730.wav, NHS2-0731.wav, NHS2-0732.wav, NHS2-0733.wav",Ibimeni: Garifuna Traditional Music From Guatemala,https://www.amazon.com/Ibimeni-Garifuna-Traditional-Music-Guatemala/dp/B001GHPKDS,$22.00,Amazon,,
NHS2-0991.wav,16 EXITOS DE ORO,https://www.amazon.com/16-EXITOS-ORO-OSCAR-CHAVEZ/dp/B0014FWWTC/ref=tmm_acd_swatch_0?_encoding=UTF8&qid=&sr=,$23.00,Amazon,,
NHS2-1432.wav,"Music Of The Balkans, Vol. 1 - Albania, Central Balkans (1920-1940)",https://www.amazon.com/Music-Balkans-Vol-Albania-1920-1940/dp/B004JKLSR6/ref=sr_1_1?keywords=Music+of+the+Balkans%2C+Vol+1&qid=1578517380&s=music&sr=1-1,$16.00,Amazon,,
"NHS2-1433.wav, NHS2-1435.wav",Ensemble Tirana ‎– Polyphonic Chants From Albania,https://www.discogs.com/sell/release/8557104?ev=rb,$19.00,Discogs,,
NHS2-1437.wav,Kosovo: Music Of The Albanian Kosovars,https://www.amazon.com/Kosovo-Albanian-Various-Artists-Records/dp/B004KZPCBS/ref=tmm_acd_swatch_0?_encoding=UTF8&qid=1578517475&sr=8-2,$16.00,Amazon,,
NHS2-0497.wav,Mexico (Fiestas Of Chiapas And Oaxaca),https://www.discogs.com/sell/release/5433330?ev=rb,$7.00,Discogs,,
NHS2-0516.wav,Taïwan: Music Of The Aboriginal Tribes,https://www.discogs.com/sell/release/12904807?ev=rb,$20.00,Discogs,,
NHS2-1715.wav,"Belgique - Belgie: Ballades, Danses Et Chansons De Flandre Et Wallonie",https://www.discogs.com/sell/release/7348763?ev=rb,$23.00,Discogs,,
"NHS2-1708.wav, NHS2-1709.wav, NHS2-1711.wav, NHS2-1704.wav",Canteloube: Songs of the Auvergne (Chants D'Auvergne) Vols. I & II,https://www.amazon.com/Canteloube-Songs-Auvergne-Chants-DAuvergne/dp/B00000DSED/ref=sr_1_14?keywords=Canteloube%3A+Chants+d%27Auvergne&qid=1579631371&s=music&sr=1-14,$16.00,Amazon,Looks like this CD is classical composition with the Royal Philarmonic Orchestra...,
NHS2-0635.wav,Songs & Dances from Lithuania,https://www.amazon.com/Songs-Dances-Lithuania-Dainava/dp/B00004ZC6D/ref=tmm_acd_swatch_0?_encoding=UTF8&qid=1579632570&sr=8-1,$13.00,Amazon,,
"NHS2-0925.wav, NHS2-0926.wav, NHS2-0927.wav",Nanaj / Oroč / Udēgē / Ulč - Chants Chamaniques et Quotidiens Du Bassin De L'amour (Shamanic And Daily Songs From The Amur Basin),https://www.discogs.com/sell/release/6597951?ev=rb,$21.00,discogs,,
NHS2-0718.wav,Heartbeat: Voices of First Nations Women,https://folkways.si.edu/heartbeat-voices-of-first-nations-women/american-indian/music/album/smithsonian,$15.00,Folkways,,