nhs2_id, nhs1_id
0022, 037
0029, 024
0033, 089
0034, 019
0061, 028
0067, 099
0080, 096
0081, 036
0101, 057
0105, 001
0122, 108
0131, 013
0143, 103
0144, 018
0145, 043
0262, 025
0263, 040
0267, 0116
0275, 061
0305, 008
0318, 005
0323, 054
0326, 093
0342, 112
0353, 047
0355, 100
0366, 014
0504, 042
0507, 062
0525, 064
0559, 017
0569, 085
0575, 113
0601, 063
0607, 076
0676, 007
0678, 022
0681, 038
0699, 059
0713, 086
0716, 101
0722, 032
0724, 031
0734, 074
0735, 009
0746, 098
0747, 033
0757, 002
0791, 058
0795, 082
0796, 070
0816, 079
0819, 094
0874, 011
0875, 114
0884, 084
0891, 104
0892, 048
0906, 066
0909, 106
0910, 067
0924, 102
0937, 026
0950, 035
0968, 073
0972, 045
0973, 083
0982, 069
0986, 023
0987, 044
0996, 115
1000, 087
1003, 075
1004, 010
1011, 072
1022, 078
1023, 109
1024, 016
1061, 034
1078, 056
1079, 015
1083, 020
1085, 003
1087, 050
1089, 081
1090, 053
1147, 051
1190, 052
1198, 021
1199, 030
1214, 004
1228, 046
1253, 055
1256, 092
1302, 090
1311, 105
1318, 117
1343, 060
1381, 029
1382, 071
1387, 041
1417, 097
1443, 027
1457, 068
1477, 039
1536, 065
1578, 095
1586, 077
1600, 088
1601, 107
1610, 110
1611, 111
1625, 118
1626, 080
1647, 006
1651, 049
1658, 012
1661, 091