glottocode,dialect,latitude,longitude,source,justification
gour1247,Gourara,31.3063,-2.1683,Ethnologue 21,ISO grr
pieg1239,Piegan,48.532872,-112.890823,Google Maps; https://web.archive.org/web/20090522022659/http://philtar.ucsm.ac.uk/encyclopedia/nam/blackf.html,"Blackfeet Indian Reservation, near Piegan"
bamb1264,Bambenzele,3.045037,16.359223,"Joshua Project; Bahuchet, S. (2006, August). Languages of African rainforest «pygmy» hunter-gatherers: language shifts without cultural admixture. In Historical linguistics and hunter-gatherers populations in global perspective-(Max-Planck Inst., Leipzig).",Pygmy Yaka (Bayaka) in Central African Republic
duma1252,Duma (Karanga),-20.114662,31.665704,"Google Maps; Bobo, T., & Nechena, H. (2018). Fighting for Existence and Recognition Among Sub-Dynasty Communities: A Case Study of the Nerumedzo People in Zimbabwe. In Handbook of Research on Methods and Tools for Assessing Cultural Landscape Adaptation (pp. 53-71). IGI Global.","Bikita, Zimbabwe (based on Bobo & Nechena, 2018)"
zezu1238,Zezuru,-18.587673,30.615661,Joshua Project,Shona-Zezuru in Zimbabwe
seng1277,Senga,-11.160124,33.107312,Joshua Project,Senga group in Zambia
kwen1247,Kwenyii,-22.337738,166.888274,Joshua Project,"Kwenyi, Kapone in New Caledonia"
raro1242,Rarotonga,-21.235,-159.778056,Google Maps,Cook Islands Maori - geographic centroid of Rarotonga
cala1254,Calabrian Albanian,39.584071,16.443023,Google Maps,Geographic centroid between Vaccarizzo Albananese and San Giorgo Albanese
domi1242,Dominican Spanish,19,-70.666667,Google Maps,Geographic centroid of the Dominican Republic
iris1255,Irish English,53.449444,-7.503056,Google Maps,Geographic centroid of Ireland (the island)
napo1241,Napoletano,40.833,14.25,Google Maps,Naples dialect
ulst1241,Ulster English,54.4,-7,Google Maps,"Approximate geographic centroid of Ulster, Northern Ireland"
dama1270,Damara,-20.085607,14.350146,Google Maps,"Approximate location in NW Namibia, corresponding to historical Damaraland"
meit1246,Meitei,24.825,93.6886,Ethnologue 21,Manipur proper dialect
lowe1445,Lower Northern English,,,,It's really unclear what dialects this group encompasses and there is no reference to support it